REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,MINCOGINT,1,2062,0.839414941
R1,MINCOGINT,2,2062,0.839414941
R1,MINCOGINT,1,2063,0.839414941
R1,MINCOGINT,2,2063,0.839414941
R1,MINCOGINT,1,2064,0.839414941
R1,MINCOGINT,2,2064,0.839414941
R1,MINCOGINT,1,2065,0.839414941
R1,MINCOGINT,2,2065,0.839414941
R1,MINCOGINT,1,2066,0.839414941
R1,MINCOGINT,2,2066,0.839414941
R1,MINCOGINT,1,2067,0.839414941
R1,MINCOGINT,2,2067,0.839414941
R1,MINCOGINT,1,2068,0.839414941
R1,MINCOGINT,2,2068,0.839414941
R1,MINCOGINT,1,2069,0.839414941
R1,MINCOGINT,2,2069,0.839414941
R1,MINCOGINT,1,2070,0.839414941
R1,MINCOGINT,2,2070,0.839414941
R1,MINGASNPL,1,2020,2.968225831
R1,MINGASNPL,2,2020,2.968225831
R1,MINGASNPL,1,2021,3.86399351
R1,MINGASNPL,2,2021,3.86399351
R1,MINGASNPL,1,2022,4.033033795
R1,MINGASNPL,2,2022,4.033033795
R1,MINGASNPL,1,2023,4.207017264
R1,MINGASNPL,2,2023,4.207017264
R1,MINGASNPL,1,2024,4.386433804
R1,MINGASNPL,2,2024,4.386433804
R1,MINGASNPL,1,2025,4.571677488
R1,MINGASNPL,2,2025,4.571677488
R1,MINGASNPL,1,2026,4.776561913
R1,MINGASNPL,2,2026,4.776561913
R1,MINGASNPL,1,2027,4.981446337
R1,MINGASNPL,2,2027,4.981446337
R1,MINGASNPL,1,2028,5.186330761
R1,MINGASNPL,2,2028,5.186330761
R1,MINGASNPL,1,2029,5.391215185
R1,MINGASNPL,2,2029,5.391215185
R1,MINGASNPL,1,2030,5.596099609
R1,MINGASNPL,2,2030,5.596099609
R1,MINGASNPL,1,2031,5.596099609
R1,MINGASNPL,2,2031,5.596099609
R1,MINGASNPL,1,2032,5.596099609
R1,MINGASNPL,2,2032,5.596099609
R1,MINGASNPL,1,2033,5.596099609
R1,MINGASNPL,2,2033,5.596099609
R1,MINGASNPL,1,2034,5.596099609
R1,MINGASNPL,2,2034,5.596099609
R1,MINGASNPL,1,2035,5.596099609
R1,MINGASNPL,2,2035,5.596099609
R1,MINGASNPL,1,2036,5.596099609
R1,MINGASNPL,2,2036,5.596099609
R1,MINGASNPL,1,2037,5.596099609
R1,MINGASNPL,2,2037,5.596099609
R1,MINGASNPL,1,2038,5.596099609
R1,MINGASNPL,2,2038,5.596099609
R1,MINGASNPL,1,2039,5.596099609
