REGION,TECHNOLOGY,YEAR,VALUE
R1,PWROTHNPLXX01,2047,21
R1,PWROTHNPLXX01,2048,21
R1,PWROTHNPLXX01,2049,21
R1,PWROTHNPLXX01,2050,21
R1,PWROTHNPLXX01,2051,21
R1,PWROTHNPLXX01,2052,21
R1,PWROTHNPLXX01,2053,21
R1,PWROTHNPLXX01,2054,21
R1,PWROTHNPLXX01,2055,21
R1,PWROTHNPLXX01,2056,21
R1,PWROTHNPLXX01,2057,21
R1,PWROTHNPLXX01,2058,21
R1,PWROTHNPLXX01,2059,21
R1,PWROTHNPLXX01,2060,21
R1,PWROTHNPLXX01,2061,21
R1,PWROTHNPLXX01,2062,21
R1,PWROTHNPLXX01,2063,21
R1,PWROTHNPLXX01,2064,21
R1,PWROTHNPLXX01,2065,21
R1,PWROTHNPLXX01,2066,21
R1,PWROTHNPLXX01,2067,21
R1,PWROTHNPLXX01,2068,21
R1,PWROTHNPLXX01,2069,21
R1,PWROTHNPLXX01,2070,21
R1,PWRPETNPLXX01,2020,21
R1,PWRPETNPLXX01,2021,21
R1,PWRPETNPLXX01,2022,21
R1,PWRPETNPLXX01,2023,21
R1,PWRPETNPLXX01,2024,21
R1,PWRPETNPLXX01,2025,21
R1,PWRPETNPLXX01,2026,21
R1,PWRPETNPLXX01,2027,21
R1,PWRPETNPLXX01,2028,21
R1,PWRPETNPLXX01,2029,21
R1,PWRPETNPLXX01,2030,21
R1,PWRPETNPLXX01,2031,21
R1,PWRPETNPLXX01,2032,21
R1,PWRPETNPLXX01,2033,21
R1,PWRPETNPLXX01,2034,21
R1,PWRPETNPLXX01,2035,21
R1,PWRPETNPLXX01,2036,21
R1,PWRPETNPLXX01,2037,21
R1,PWRPETNPLXX01,2038,21
R1,PWRPETNPLXX01,2039,21
R1,PWRPETNPLXX01,2040,21
R1,PWRPETNPLXX01,2041,21
R1,PWRPETNPLXX01,2042,21
R1,PWRPETNPLXX01,2043,21
R1,PWRPETNPLXX01,2044,21
R1,PWRPETNPLXX01,2045,21
R1,PWRPETNPLXX01,2046,21
R1,PWRPETNPLXX01,2047,21
R1,PWRPETNPLXX01,2048,21
