REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCOANPLXX01,CO2,2024,3.9810308
GLOBAL,PWRCOANPLXX01,CO2,2025,4.4810035
GLOBAL,PWRCOANPLXX01,CO2,2026,5.0688567
GLOBAL,PWRCOANPLXX01,CO2,2027,5.6693406
GLOBAL,PWRCOANPLXX01,CO2,2028,6.3179199
GLOBAL,PWRCOANPLXX01,CO2,2029,6.9665096
GLOBAL,PWRCOANPLXX01,CO2,2030,7.6218753
GLOBAL,PWRCOANPLXX01,CO2,2031,8.344801
GLOBAL,PWRCOANPLXX01,CO2,2032,9.0424837
GLOBAL,PWRCOANPLXX01,CO2,2033,9.7398824
GLOBAL,PWRCOANPLXX01,CO2,2034,10.437379
GLOBAL,PWRCOANPLXX01,CO2,2035,11.134778
GLOBAL,PWRCOANPLXX01,CO2,2036,11.913021
GLOBAL,PWRCOANPLXX01,CO2,2037,12.339889
GLOBAL,PWRCOANPLXX01,CO2,2038,13.078463
GLOBAL,PWRCOANPLXX01,CO2,2039,13.816943
GLOBAL,PWRCOANPLXX01,CO2,2040,14.546303
GLOBAL,PWRCOANPLXX01,CO2,2041,15.353268
GLOBAL,PWRCOANPLXX01,CO2,2042,16.105958
GLOBAL,PWRCOANPLXX01,CO2,2043,16.858648
GLOBAL,PWRCOANPLXX01,CO2,2044,17.611338
GLOBAL,PWRCOANPLXX01,CO2,2045,18.364028
GLOBAL,PWRCOANPLXX01,CO2,2046,19.197429
GLOBAL,PWRCOANPLXX01,CO2,2047,20.030916
GLOBAL,PWRCOANPLXX01,CO2,2048,20.864317
GLOBAL,PWRCOANPLXX01,CO2,2049,21.697804
GLOBAL,PWRCOANPLXX01,CO2,2050,22.531292
GLOBAL,PWRCOANPLXX01,CO2,2051,23.580267
GLOBAL,PWRCOANPLXX01,CO2,2052,24.629243
GLOBAL,PWRCOANPLXX01,CO2,2053,25.678218
GLOBAL,PWRCOANPLXX01,CO2,2054,26.727281
GLOBAL,PWRCOANPLXX01,CO2,2055,27.776257
GLOBAL,PWRCOANPLXX01,CO2,2056,28.939095
GLOBAL,PWRCOANPLXX01,CO2,2057,30.10202
GLOBAL,PWRCOANPLXX01,CO2,2058,31.264858
GLOBAL,PWRCOANPLXX01,CO2,2059,32.427783
GLOBAL,PWRCOANPLXX01,CO2,2060,33.590621
GLOBAL,PWRCOANPLXX01,CO2,2061,34.866801
GLOBAL,PWRCOANPLXX01,CO2,2062,36.142981
GLOBAL,PWRCOANPLXX01,CO2,2063,37.419161
GLOBAL,PWRCOANPLXX01,CO2,2064,38.695427
GLOBAL,PWRCOANPLXX01,CO2,2065,39.971607
GLOBAL,PWRCOANPLXX01,CO2,2066,41.368245
GLOBAL,PWRCOANPLXX01,CO2,2067,42.764884
GLOBAL,PWRCOANPLXX01,CO2,2068,44.161522
GLOBAL,PWRCOANPLXX01,CO2,2069,45.558247
GLOBAL,PWRCOANPLXX01,CO2,2070,46.954885
GLOBAL,PWROCGNPLXX01,CO2,2020,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2021,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2022,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2023,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2024,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2025,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2026,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2027,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2028,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2029,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2031,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2032,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2033,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2034,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2035,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2036,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2037,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2038,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2039,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2040,0.00061188884
GLOBAL,PWROCGNPLXX01,CO2,2041,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2042,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2043,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2044,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2045,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2046,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2047,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2048,0.0012237777
GLOBAL,PWROCGNPLXX01,CO2,2049,0.0012237777
