REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S2D1,ELCNPLXX02,2060,52.856364
GLOBAL,S2D1,ELCNPLXX02,2061,54.832613
GLOBAL,S2D1,ELCNPLXX02,2062,56.808862
GLOBAL,S2D1,ELCNPLXX02,2063,58.785111
GLOBAL,S2D1,ELCNPLXX02,2064,60.761494
GLOBAL,S2D1,ELCNPLXX02,2065,62.737743
GLOBAL,S2D1,ELCNPLXX02,2066,64.90053
GLOBAL,S2D1,ELCNPLXX02,2067,67.063317
GLOBAL,S2D1,ELCNPLXX02,2068,69.226103
GLOBAL,S2D1,ELCNPLXX02,2069,71.389024
GLOBAL,S2D1,ELCNPLXX02,2070,73.551811
GLOBAL,S2D2,ELCNPLXX02,2020,5.1192283
GLOBAL,S2D2,ELCNPLXX02,2021,5.7945662
GLOBAL,S2D2,ELCNPLXX02,2022,6.4699041
GLOBAL,S2D2,ELCNPLXX02,2023,7.1452419
GLOBAL,S2D2,ELCNPLXX02,2024,7.8205798
GLOBAL,S2D2,ELCNPLXX02,2025,8.4959177
GLOBAL,S2D2,ELCNPLXX02,2026,9.2900069
GLOBAL,S2D2,ELCNPLXX02,2027,10.084084
GLOBAL,S2D2,ELCNPLXX02,2028,10.87816
GLOBAL,S2D2,ELCNPLXX02,2029,11.67225
GLOBAL,S2D2,ELCNPLXX02,2030,12.466326
GLOBAL,S2D2,ELCNPLXX02,2031,13.364724
GLOBAL,S2D2,ELCNPLXX02,2032,14.263009
GLOBAL,S2D2,ELCNPLXX02,2033,15.161294
GLOBAL,S2D2,ELCNPLXX02,2034,16.059704
GLOBAL,S2D2,ELCNPLXX02,2035,16.957989
GLOBAL,S2D2,ELCNPLXX02,2036,17.960406
GLOBAL,S2D2,ELCNPLXX02,2037,18.962824
GLOBAL,S2D2,ELCNPLXX02,2038,19.965241
GLOBAL,S2D2,ELCNPLXX02,2039,20.967532
GLOBAL,S2D2,ELCNPLXX02,2040,21.96995
GLOBAL,S2D2,ELCNPLXX02,2041,23.062019
GLOBAL,S2D2,ELCNPLXX02,2042,24.154089
GLOBAL,S2D2,ELCNPLXX02,2043,25.246158
GLOBAL,S2D2,ELCNPLXX02,2044,26.338227
GLOBAL,S2D2,ELCNPLXX02,2045,27.430297
GLOBAL,S2D2,ELCNPLXX02,2046,28.639468
GLOBAL,S2D2,ELCNPLXX02,2047,29.848766
GLOBAL,S2D2,ELCNPLXX02,2048,31.057937
GLOBAL,S2D2,ELCNPLXX02,2049,32.267234
GLOBAL,S2D2,ELCNPLXX02,2050,33.476531
GLOBAL,S2D2,ELCNPLXX02,2051,34.998478
GLOBAL,S2D2,ELCNPLXX02,2052,36.520425
GLOBAL,S2D2,ELCNPLXX02,2053,38.042371
GLOBAL,S2D2,ELCNPLXX02,2054,39.564444
GLOBAL,S2D2,ELCNPLXX02,2055,41.086391
GLOBAL,S2D2,ELCNPLXX02,2056,42.773539
GLOBAL,S2D2,ELCNPLXX02,2057,44.460814
GLOBAL,S2D2,ELCNPLXX02,2058,46.147962
GLOBAL,S2D2,ELCNPLXX02,2059,47.835237
GLOBAL,S2D2,ELCNPLXX02,2060,49.522385
GLOBAL,S2D2,ELCNPLXX02,2061,51.37398
