REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCNPLXX02,S1D2,2027,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2028,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2029,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2030,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2031,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2032,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2033,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2034,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2035,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2036,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2037,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2038,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2039,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2040,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2041,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2042,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2043,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2044,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2045,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2046,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2047,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2048,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2049,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2050,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2051,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2052,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2053,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2054,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2055,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2056,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2057,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2058,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2059,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2060,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2061,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2062,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2063,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2064,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2065,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2066,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2067,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2068,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2069,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2070,0.100646538
GLOBAL,ELCNPLXX02,S2D1,2020,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2021,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2022,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2023,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2024,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2025,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2026,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2027,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2028,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2029,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2030,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2031,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2032,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2033,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2034,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2035,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2036,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2037,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2038,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2039,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2040,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2041,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2042,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2043,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2044,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2045,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2046,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2047,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2048,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2049,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2050,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2051,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2052,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2053,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2054,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2055,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2056,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2057,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2058,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2059,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2060,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2061,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2062,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2063,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2064,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2065,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2066,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2067,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2068,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2069,0.13439342
GLOBAL,ELCNPLXX02,S2D1,2070,0.13439342
GLOBAL,ELCNPLXX02,S2D2,2020,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2021,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2022,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2023,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2024,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2025,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2026,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2027,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2028,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2029,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2030,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2031,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2032,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2033,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2034,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2035,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2036,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2037,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2038,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2039,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2040,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2041,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2042,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2043,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2044,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2045,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2046,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2047,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2048,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2049,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2050,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2051,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2052,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2053,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2054,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2055,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2056,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2057,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2058,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2059,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2060,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2061,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2062,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2063,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2064,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2065,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2066,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2067,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2068,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2069,0.125915872
GLOBAL,ELCNPLXX02,S2D2,2070,0.125915872
GLOBAL,ELCNPLXX02,S3D1,2020,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2021,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2022,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2023,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2024,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2025,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2026,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2027,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2028,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2029,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2030,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2031,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2032,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2033,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2034,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2035,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2036,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2037,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2038,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2039,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2040,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2041,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2042,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2043,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2044,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2045,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2046,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2047,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2048,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2049,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2050,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2051,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2052,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2053,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2054,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2055,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2056,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2057,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2058,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2059,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2060,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2061,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2062,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2063,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2064,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2065,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2066,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2067,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2068,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2069,0.149631598
GLOBAL,ELCNPLXX02,S3D1,2070,0.149631598
GLOBAL,ELCNPLXX02,S3D2,2020,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2021,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2022,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2023,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2024,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2025,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2026,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2027,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2028,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2029,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2030,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2031,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2032,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2033,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2034,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2035,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2036,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2037,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2038,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2039,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2040,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2041,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2042,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2043,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2044,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2045,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2046,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2047,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2048,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2049,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2050,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2051,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2052,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2053,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2054,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2055,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2056,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2057,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2058,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2059,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2060,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2061,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2062,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2063,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2064,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2065,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2066,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2067,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2068,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2069,0.140816789
GLOBAL,ELCNPLXX02,S3D2,2070,0.140816789
GLOBAL,ELCNPLXX02,S4D1,2020,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2021,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2022,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2023,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2024,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2025,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2026,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2027,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2028,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2029,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2030,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2031,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2032,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2033,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2034,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2035,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2036,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2037,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2038,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2039,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2040,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2041,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2042,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2043,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2044,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2045,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2046,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2047,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2048,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2049,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2050,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2051,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2052,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2053,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2054,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2055,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2056,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2057,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2058,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2059,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2060,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2061,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2062,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2063,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2064,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2065,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2066,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2067,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2068,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2069,0.124380895
GLOBAL,ELCNPLXX02,S4D1,2070,0.124380895
GLOBAL,ELCNPLXX02,S4D2,2020,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2021,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2022,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2023,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2024,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2025,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2026,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2027,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2028,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2029,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2030,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2031,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2032,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2033,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2034,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2035,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2036,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2037,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2038,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2039,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2040,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2041,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2042,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2043,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2044,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2045,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2046,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2047,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2048,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2049,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2050,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2051,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2052,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2053,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2054,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2055,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2056,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2057,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2058,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2059,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2060,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2061,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2062,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2063,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2064,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2065,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2066,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2067,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2068,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2069,0.117265512
GLOBAL,ELCNPLXX02,S4D2,2070,0.117265512
